exp,H,beta,m,V
1,0.01,1.5707963267949,0.7325,3.6
2,0.01,1.5707963267949,0.7325,3.97894736842105
3,0.01,1.5707963267949,0.7325,4.35789473684211
4,0.01,1.5707963267949,0.7325,4.73684210526316
5,0.01,1.5707963267949,0.7325,5.11578947368421
6,0.01,1.5707963267949,0.7325,5.49473684210526
7,0.01,1.5707963267949,0.7325,5.87368421052632
8,0.01,1.5707963267949,0.7325,6.25263157894737
9,0.01,1.5707963267949,0.7325,6.63157894736842
10,0.01,1.5707963267949,0.7325,7.01052631578947
11,0.01,1.5707963267949,0.7325,7.38947368421053
12,0.01,1.5707963267949,0.7325,7.76842105263158
13,0.01,1.5707963267949,0.7325,8.14736842105263
14,0.01,1.5707963267949,0.7325,8.52631578947368
15,0.01,1.5707963267949,0.7325,8.90526315789474
16,0.01,1.5707963267949,0.7325,9.28421052631579
17,0.01,1.5707963267949,0.7325,9.66315789473684
18,0.01,1.5707963267949,0.7325,10.0421052631579
19,0.01,1.5707963267949,0.7325,10.4210526315789
20,0.01,1.5707963267949,0.7325,10.8
21,0.01,1.5707963267949,0.9379,3.6
22,0.01,1.5707963267949,0.9379,3.97894736842105
23,0.01,1.5707963267949,0.9379,4.35789473684211
24,0.01,1.5707963267949,0.9379,4.73684210526316
25,0.01,1.5707963267949,0.9379,5.11578947368421
26,0.01,1.5707963267949,0.9379,5.49473684210526
27,0.01,1.5707963267949,0.9379,5.87368421052632
28,0.01,1.5707963267949,0.9379,6.25263157894737
29,0.01,1.5707963267949,0.9379,6.63157894736842
30,0.01,1.5707963267949,0.9379,7.01052631578947
31,0.01,1.5707963267949,0.9379,7.38947368421053
32,0.01,1.5707963267949,0.9379,7.76842105263158
33,0.01,1.5707963267949,0.9379,8.14736842105263
34,0.01,1.5707963267949,0.9379,8.52631578947368
35,0.01,1.5707963267949,0.9379,8.90526315789474
36,0.01,1.5707963267949,0.9379,9.28421052631579
37,0.01,1.5707963267949,0.9379,9.66315789473684
38,0.01,1.5707963267949,0.9379,10.0421052631579
39,0.01,1.5707963267949,0.9379,10.4210526315789
40,0.01,1.5707963267949,0.9379,10.8
41,0.01,1.5707963267949,1.1238,3.6
42,0.01,1.5707963267949,1.1238,3.97894736842105
43,0.01,1.5707963267949,1.1238,4.35789473684211
